,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,Function,config,python_func
8,147.53532411955146,2467979178457.2725,394876668553.1636,0.0,7946892954632.419,3899407101962.4907,7897533371063.271,35785698087630.45,49359583569145.45,49359583569145.45,0.0,43189635623002.266,1974383342765.8179,1.623473795148741,AVX2::direct_copy_kernel(float),8,Collation
7,235.285,67990833600000.0,1019470400000.0,470524800000.0,392104000000.0,0.0,0.0,5411035200000.0,0.0,0.0,0.0,470524800000.0,8469446400000.001,2.5890683073434317,jpeg_idct_16x16,8,Loader
6,218.97653902773396,4579704343906.74,1772788778286.4802,960260588238.5101,17949486380150.613,7534352307717.541,17136958190102.64,43581057466209.305,34938712172062.715,590929592762.16,0.0,59536156470787.625,8346880497765.511,2.409610545714593,__memmove_avx_unaligned_erms,8,Loader
3,537.976,152234880000000.0,906160000000.0,2356016000000.0,362464000000.0,181232000000.0,0.0,17217040000000.0,0.0,0.0,0.0,724928000000.0,23922624000000.0,5.919869994735703,ycc_rgb_convert,8,Loader
0,1868.632,260448688000000.0,53344912000000.0,267979734400000.03,110455347200000.02,1255174400000.0,627587200000.0,72172528000000.0,0.0,0.0,0.0,627587200000.0,27613836800000.004,20.562364321090467,decode_mcu,8,Loader
5,365.74,34106299200000.0,18336720000000.0,64911988800000.0,8434891200000.0,244489600000.0,122244800000.0,14058152000000.0,0.0,0.0,0.0,0.0,3911833600000.0,4.024590784485992,jpeg_fill_bit_buffer,8,Loader
19,2.375,16352000000.0,265720000000.0,80942400000.0,255091200000.0,0.0,179872000000.0,75219200000.0,0.0,0.0,0.0,195406400000.0,135721600000.00002,0.026134420936059,__libc_calloc,8,Loader
10,144.185,25003344000000.0,2697856000000.0,12284880000000.0,1589808000000.0,0.0,48176000000.0,3902256000000.0,192704000000.0,0.0,0.0,192704000000.0,7130048000000.0,1.5866069400697564,decompress_onepass,8,Loader
16,30.015,4696422400000.0,2763196800000.0,1528361600000.0,617417600000.0,10121600000.0,0.0,1153862400000.0,0.0,0.0,0.0,647782400000.0,718633600000.0,0.3302840607982366,__memset_avx2_unaligned_erms,8,Loader
1,1472.182,343246084800000.0,15488542400000.0,29478193600000.0,8993347200000.0,0.0,0.0,45965996800000.0,0.0,0.0,0.0,1498891200000.0,104422753600000.0,16.199841718942846,jpeg_idct_islow,8,Loader
11,143.64,44759318400000.0,3088488000000.0,1520486400000.0,427636800000.0,0.0,0.0,4276368000000.0,0.0,0.0,0.0,950304000000.0,0.0,1.5806097782128503,ImagingUnpackRGB,8,Loader
9,63.9565284723968,2993282933637.2197,131092683224.98773,0.0,4763034157174.555,2862190250412.232,1682356101387.3425,19161380531385.707,0.0,0.0,0.0,1900843906762.322,8477326848549.207,0.7037755101922789,AVX2::div_true_kernel(float),8,Normalize
15,34.235,3081892800000.0,2248948800000.0,0.0,0.0,1332710400000.0,2629723200000.0,10352304000000.0,0.0,0.0,0.0,392673600000.0,3545961600000.0,0.3767208003140972,add_kernel(float),8,Normalize
8,79.91967588044855,1336900821542.7275,213904131446.8364,0.0,4304820645367.5835,2112303298037.5095,4278082628936.728,19385061912369.55,26738016430854.55,26738016430854.55,0.0,23395764376997.73,1069520657234.182,0.8794334528560196,AVX2::direct_copy_kernel(float),8,Normalize
17,22.595,7031827200000.0,184625600000.0,698366400000.0,152516800000.0,136462400000.0,120408000000.0,1814147200000.0,0.0,0.0,0.0,842856000000.0,64217600000.0,0.2486346278106331,ImagingFlipLeftRight,8,RandomHorizontalFlip
4,463.466,133684636800000.0,779048000000.0,311619200000.0,1558096000000.0,155809600000.0,623238400000.0,7634670400000.001,1558096000000.0,0.0,0.0,311619200000.0,19632009600000.0,5.099964435179594,ImagingResampleVertical_8bpc,8,RandomResizedCrop
6,51.92057077177459,1085873694768.2686,420338204426.4265,227683194064.31436,4255924319817.569,1786437368812.3127,4063269309455.4565,10333314192149.652,8284165445570.823,140112734808.80884,0.0,14116358031987.49,1979092379174.4248,0.5713322323326318,__memmove_avx_unaligned_erms,8,RandomResizedCrop
2,667.206,198633648000000.0,3591116800000.0,0.0,1795558400000.0,0.0,448889600000.0,18404473600000.0,0.0,0.0,0.0,0.0,22220035200000.0,7.341912612658612,ImagingResampleHorizontal_8bpc,8,RandomResizedCrop
18,7.587296921775025,471203128526.5478,972643890969.2377,194024817628.57852,110871324359.18771,90712901748.42632,486321945484.61884,907129017484.2632,0.0,0.0,0.0,22678225437.10658,153707972407.0557,0.08349036274548773,_int_free,8,RandomResizedCrop
6,17.707890200491445,370345161324.9908,143359417287.0932,77653017697.17549,1451514100031.8186,609277523470.1461,1385807700441.901,3524252341641.041,2825375182366.462,47786472429.03107,0.0,4814487097224.88,674983923060.0638,0.19485703426911924,__memmove_avx_unaligned_erms,8,ToTensor
9,108.4084715276032,5073715466362.779,222206516775.01224,0.0,8073503442825.445,4851508949587.768,2851650298612.657,32479185868614.29,0.0,0.0,0.0,3221994493237.6777,14369354751450.793,1.1929232117630115,AVX2::div_true_kernel(float),8,ToTensor
18,2.5877030782249766,160707271473.4522,331727309030.76227,66173582371.42149,37813475640.81228,30938298251.573685,165863654515.38113,309382982515.7369,0.0,0.0,0.0,7734574562.893421,52423227592.9443,0.028474998527944082,_int_free,8,ToTensor
12,85.275,28722168000000.0,247872000000.0,247872000000.0,123936000000.0,61968000000.0,0.0,8799456000000.0,0.0,0.0,1518216000000.0,0.0,1890024000000.0,0.9383632611883932,AVX2::direct_copy_kernel(unsigned char),8,ToTensor
13,47.62,3474240000000.0,132352000000.0,66176000000.0,2911744000000.0,2729760000000.0,1306976000000.0,13632256000000.0,0.0,0.0,0.0,8023840000000.0,2680128000000.0,0.524008894726371,"AVX2::copy_kernel(char**long const*, long, long)",8,ToTensor
14,38.98,10577836800000.0,706060800000.0,261504000000.0,143827200000.0,143827200000.0,65376000000.0,4040236800000.0,0.0,0.0,0.0,653760000000.0,1111392000000.0,0.4289346223526656,ImagingPackRGB,8,ToTensor
28,148.22896332226952,2451859866714.5874,686520762680.0845,196148789337.16702,7061356416138.013,4070087378746.216,7944025968155.264,38984571880761.945,49037197334291.75,49037197334291.75,0.0,43888291614191.12,2648008656051.7554,1.527727455991541,AVX2::direct_copy_kernel(float),12,Collation
27,242.15,67581592000000.0,1635732800000.0,3099283200000.0,602638400000.0,86091200000.0,0.0,4562833600000.0,0.0,0.0,0.0,947003200000.0,12483224000000.0,2.4957281976266303,jpeg_idct_16x16,12,Loader
26,252.4129558149745,4696438962724.672,1772241118009.3103,443060279502.3276,23304970701822.43,7709248863340.5,15507109782581.465,45457984676938.805,65395697254543.55,2303913453412.1035,0.0,70978256776272.88,7620636807440.034,2.6015037426129117,__memmove_avx_unaligned_erms,12,Loader
23,591.146,165755648000000.0,2396467200000.0,2795878400000.0,998528000000.0,199705600000.0,199705600000.0,12980864000000.0,599116800000.0,0.0,0.0,1198233600000.0,25562316800000.0,6.092668763634904,ycc_rgb_convert,12,Loader
20,2006.758,264204864000000.0,58045007999999.99,264872048000000.03,112754095999999.98,1334368000000.0,667184000000.0,51373168000000.0,0.0,0.0,0.0,667184000000.0,49371616000000.0,20.682727757228257,decode_mcu,12,Loader
25,396.996,36235622400000.0,19050345600000.0,65943504000000.0,9192124800000.0,0.0,133219200000.0,9991440000000.0,266438400000.0,0.0,0.0,0.0,9725001600000.0,4.091654394156439,jpeg_fill_bit_buffer,12,Loader
39,3.645,199475200000.0,479208000000.0,0.0,419988800000.0,0.0,254798400000.00003,90387200000.0,0.0,0.0,0.0,150385600000.0,0.0,0.0375673313250013,__libc_calloc,12,Loader
