Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.359941,2.359941,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ImagingUnpackRGB,1.584047,1.584047,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
__memmove_avx_unaligned_erms,1.519995,1.519995,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ycc_rgb_convert,1.248016,1.248016,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.767980,0.767980,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.116012,0.116012,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
jpeg_fill_bit_buffer,0.087958,0.087958,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
decompress_onepass,0.080002,0.080002,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
__memset_avx2_unaligned_erms,0.056006,0.056006,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
__libc_calloc,0.016534,0.016534,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
ImagingJpegDecode,0.007998,0.007998,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingJpegDecode,[Unknown],0x41bd0
