Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.208029,2.208029,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.517999,1.517999,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ImagingUnpackRGB,1.403995,1.403995,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
ycc_rgb_convert,1.207971,1.207971,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.588002,0.588002,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decompress_onepass,0.115988,0.115988,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.072004,0.072004,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.031982,0.031982,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
jpeg_fill_bit_buffer,0.016011,0.016011,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__libc_calloc,0.012546,0.012546,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
PyVectorcall_Function,0.007983,0.007983,0.0,0.0,python3.10,PyVectorcall_Function,abstract.h,0x508051
