,Source Function / Function / Call Stack,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,decode_mcu,1865.837,41.1,8.7,41.8,17.1,0.2,0.1,10.7,0.0,0.0,0.0,0.1,5.2,20.997076920047153,b1024_gpu4_dataloader8
1,jpeg_idct_islow,1481.106,69.1,3.1,7.3,1.9,0.0,0.0,9.1,0.0,0.0,0.0,0.2,19.2,16.66753130565176,b1024_gpu4_dataloader8
2,ImagingResampleHorizontal_8bpc,665.871,89.1,1.6,1.3,0.9,0.0,0.1,11.6,0.0,0.0,0.0,0.0,7.3,7.4933365593182675,b1024_gpu4_dataloader8
3,ycc_rgb_convert,538.661,82.9,0.7,0.0,0.3,0.0,0.0,10.0,0.0,0.0,0.0,0.4,15.3,6.061786989340183,b1024_gpu4_dataloader8
4,__memmove_avx_unaligned_erms,277.265,5.7,1.5,0.8,23.6,11.4,23.0,59.1,45.4,0.0,0.0,80.0,9.4,3.120183881141211,b1024_gpu4_dataloader8
5,jpeg_idct_16x16,230.505,90.5,1.4,0.0,0.6,0.0,0.0,8.6,0.0,0.0,0.0,0.9,7.8,2.5939732224494794,b1024_gpu4_dataloader8
6,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",225.94,4.6,0.8,0.3,15.8,8.5,15.6,75.3,100.0,100.0,0.0,86.5,3.9,2.5426012879557294,b1024_gpu4_dataloader8
7,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",171.77,13.1,0.4,0.0,23.8,12.1,9.5,88.6,1.0,0.0,0.0,11.0,37.5,1.9330026698776475,b1024_gpu4_dataloader8
8,decompress_onepass,144.21,53.7,5.7,25.0,3.2,0.0,0.1,8.5,0.0,0.0,0.0,0.4,13.4,1.6228579788266608,b1024_gpu4_dataloader8
9,ImagingUnpackRGB,139.195,89.5,6.3,3.0,0.8,0.1,0.0,10.6,0.0,0.0,0.0,2.2,1.0,1.5664219982163305,b1024_gpu4_dataloader8
