,Function,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,decode_mcu,1868.632,72660702374785.4,8578616827711.3955,21501519143416.15,10554974633849.791,1784834681199.9368,3565326934356.256,22969272237658.35,7638193245111.933,4158352249131.9854,81247458033.47047,9110559510914.938,14593638897332.379,20.562364321090467,8
1,jpeg_idct_islow,1472.182,92227804442657.22,10888788152551.79,27291752459954.004,13397367553739.96,2265480219157.6855,4525448619803.802,29154762875785.734,9695114000850.438,5278172182515.477,103126923165.74988,11563979888356.195,18523620476272.637,16.199841718942846,8
2,ImagingResampleHorizontal_8bpc,667.206,203499539272728.38,24025979862291.406,60218922971316.21,29561130085760.625,4998754807360.845,9985347853586.45,64329633006897.42,21392152228846.863,11646223325329.809,227548313414.4477,25515782292125.668,40872145394375.945,7.341912612658612,8
3,ycc_rgb_convert,537.976,252383217095186.44,29797384864752.332,74684422204708.03,36662162178238.44,6199531577616.846,12383979954496.111,79782587178610.19,26530871860454.742,14443822921468.615,282208871771.2314,31645060448793.254,50690255029964.16,5.919869994735703,8
4,ImagingResampleVertical_8bpc,463.466,292958088834995.44,34587818567057.777,86691206517845.98,42556224965801.164,7196211156805.461,14374914233190.783,92608987757462.25,30796158337396.918,16765911803670.602,327578722063.7544,36732539258543.234,58839571058071.14,5.099964435179594,8
5,jpeg_fill_bit_buffer,365.74,371236708043965.7,43829709411057.03,109855161371466.1,53927279925630.234,9119044129709.629,18215902006890.14,117354178159348.17,39024914748181.766,21245775906381.582,415108000218.7346,46547501066331.27,74561548203641.94,4.024590784485992,8
6,__memmove_avx_unaligned_erms,288.605,470456553420765.3,55544006236898.18,139215975883993.7,68340338386375.85,11556276571784.965,23084437206562.6,148719242979158.34,49455041735243.67,26924100691256.215,526053256180.59283,58988177751598.2,94489494776597.77,3.175799812316344,8
7,jpeg_idct_16x16,235.285,577070844295216.4,68131321248698.39,170764930701064.7,83827542597275.66,14175145886903.12,28315804237414.203,182421816605393.47,60662483031217.45,33025607582293.816,645266804088.6584,72356006715260.22,115902588945321.62,2.5890683073434313,8
8,AVX2::direct_copy_kernel(float),227.455,596936157042052.2,70476700534171.6,176643409553538.1,86713254753687.55,14663116660438.326,29290558572025.23,188701576663515.84,62750752104811.94,34162494031786.504,667479721263.5465,74846818227781.31,119892465059022.66,2.5029072480047607,8
9,AVX2::div_true_kernel(float),172.365,787724384880921.2,93001931482609.56,233100842514431.6,114427890581034.45,19349631305659.5,38652185768572.5,249012949960838.9,82806673744669.73,45081252458445.74,880814550517.7965,98768793200475.73,158211589591854.5,1.8966987219552904,8
10,decompress_onepass,144.185,941679880708811.5,111178540902312.98,278658853001352.5,136792061310122.44,23131388147172.035,46206498595554.32,297680876096681.4,98990687796927.55,53892083642542.56,1052963900544.4395,118072497416513.5,189132993307209.47,1.5866069400697564,8
11,ImagingUnpackRGB,143.64,945252809802283.6,111600375382901.7,279716142578668.94,137311078808131.47,23219153439153.44,46381815650236.7,298810339181286.56,99366279030910.62,54096561403508.77,1056959064327.4855,118520489000278.48,189850603174603.2,1.5806097782128503,8
12,_PyEval_EvalFrameDefault,121.255,1119756823223784.6,132203026019545.58,331354803678198.9,162660206671889.84,27505663271617.664,54944406416230.26,353973997938229.4,117710381592511.64,64083378664797.33,1252085274834.0276,140400668343573.47,224899102222588.78,1.3342859834113001,8
13,AVX2::direct_copy_kernel(unsigned char),85.275,1592214759308120.8,187983323600117.25,471163022222222.25,231291273644092.7,39111101729698.03,78127047786572.84,503325911697449.44,167375811433597.16,91122017941952.5,1780376429199.648,199639789387276.44,319790567458223.4,0.9383632611883933,8
14,"AVX2::copy_kernel(char**long const*, long, long)",47.62,2851241360772785.0,336629103737925.25,843730086518269.9,414182346913061.8,70037782444351.11,139905165896682.08,901325433011339.9,299726424191516.2,163175768164636.72,3188189836203.276,357502793784124.3,572661500209995.8,0.524008894726371,8
15,ImagingPackRGB,38.98,3483225079527963.5,411243661364802.5,1030744656747050.0,505986746023601.94,85561806054386.88,170915443817342.25,1101106134427911.9,366161424320164.2,199344024628014.38,3894858902001.0264,436744049256028.75,699593141097999.0,0.42893462235266566,8
16,_Py_DECREF,35.8,3792628871508380.5,447773126256983.3,1122302422346369.0,550931937430167.75,93161988826815.66,186097318435754.2,1198913886033519.8,398686377653631.3,217051119553072.62,4240826815642.4585,475538632402234.7,761735772067039.1,0.3939420082151214,8
17,add_kernel(float),34.235,3966003026142836.5,468242381188841.8,1173606739301884.2,576116937636921.4,97420744851759.9,194604469110559.38,1253720377391558.5,416911707901270.6,226973275303052.44,4434689645100.044,497277144442821.7,796557343069957.6,0.37672080031409727,8
18,__memset_avx2_unaligned_erms,30.015,4523608649008829.0,534075559553556.56,1338611584874229.8,657116886889888.5,111117747792770.28,221965150757954.34,1429988909545227.2,475527980009995.0,258884893553223.38,5058190904547.726,567192505080793.0,908550412793603.1,0.3302840607982366,8
19,_Py_INCREF,28.93,4693263518838576.0,554105700656757.7,1388815303145523.8,681761609402005.0,115285143449706.17,230289802972692.72,1483619672312478.2,493362333909436.6,268594195644659.53,5247894918769.443,588464674732112.0,942624978914621.5,0.3183447569179738,8
20,ImagingFlipLeftRight,22.595,6009122088957734.0,709461293206461.6,1778199899092720.0,872908314228811.9,147607842443018.38,294856561186103.1,1899584736446116.5,631687201593272.9,343900423987607.94,6719256472670.945,753453553441026.9,1206910406727152.2,0.24863462781063317,8
21,pymalloc_alloc,18.695,7262696635464028.0,857463381652848.4,2149153608986360.2,1055007400909334.1,178400599090665.94,356367156993848.6,2295860771329232.5,763464686814656.4,415642154586787.9,8120973522332.175,910632952126236.9,1458686313987697.2,0.20571915764194676,8
22,PyObject_GetAttr,10.63,1.277291755409219e+16,1508022381937911.5,3779720293508937.5,1855443401693321.0,313753452492944.5,626743555973659.4,4037734442144872.5,1342706709313264.2,730990600188146.6,14282370649106.303,1601531800564440.2,2565394227657572.5,0.11697216612644527,8
23,_int_free,10.175,1.3344089788697788e+16,1575457289434889.2,3948739726781327.5,1938414089434889.5,327783705159705.1,654769926289926.2,4218291608845208.5,1402749122358722.2,763678631941031.9,14921041769041.77,1673148210319410.2,2680112102211302.0,0.11196536127343186,8
24,__GI___pthread_mutex_lock,8.485,1.60018990689452e+16,1889249018267531.2,4735230020035358.0,2324497744254567.5,393070029463759.6,785183736004714.2,5058469902180319.0,1682141699469652.2,915784334708308.8,17892940483205.656,2006397529758397.2,3213923469652327.5,0.09336865753366774,8
27,__GI___libc_malloc,7.74,1.7542133540051678e+16,2071095338501291.8,5191011204134368.0,2548238160206719.0,430904289405684.75,860760206718346.2,5545363968992248.0,1844053271317829.2,1003931534883720.9,19615193798449.613,2199519772609819.2,3523273984496124.0,0.08517070233477765,8
29,_PyRuntimeState_GetThreadState,5.675,2.392530636123348e+16,2824718576211454.0,7079898981497798.0,3475482530396476.5,587700299559471.4,1173970748898678.5,7563192444052864.0,2515061201762114.5,1369238780616740.0,26752704845814.977,2999873663436123.5,4805311125991190.0,0.062447511078793684,8
30,__tls_get_addr,5.66,2.398871265017668e+16,2832204579505300.5,7098661964664312.0,3484693173144877.0,589257809187279.1,1177081978798586.5,7583236240282686.0,2521726558303886.5,1372867505300353.2,26823604240282.684,3007823858657244.0,4818046049469965.0,0.062282451578144896,8
31,c10::impl::OperatorEntry::lookup,4.945,2.745725249747219e+16,3241714442871587.0,8125061015166836.0,3988546685540951.0,674458887765419.5,1347276845298281.0,8679700125379170.0,2886344250758341.5,1571371098078867.5,30702042467138.52,3442726600606673.0,5514689714863498.0,0.05441461538055239,8
32,__pthread_mutex_unlock_usercnt,4.74,2.864474970464135e+16,3381915172995780.5,8476461333333334.0,4161047122362869.5,703628523206751.0,1405545147679324.8,9055088000000000.0,3011175594936708.5,1639331240506329.0,32029873417721.516,3591620894514768.0,5753194227848101.0,0.052158802205018874,8
33,__GI_,4.73,2.8705309429175476e+16,3389065099365750.5,8494381970401692.0,4169844262156448.5,705116109936575.0,1408516701902748.2,9074231949260042.0,3017541716701902.5,1642797057082452.2,32097589852008.453,3599214173361522.0,5765357429175475.0,0.05204876253791968,8
34,PyVectorcall_Function,4.69,2.89501308315565e+16,3417969705756929.5,8566828724946695.0,4205407965884861.5,711129893390191.8,1420529637526652.2,9151624119402984.0,3043277680170575.5,1656808119402985.0,32371343283582.086,3629911095948827.5,5814528921108741.0,0.05160860386952289,8
35,up_read,4.58,2.964543965065502e+16,3500060681222707.5,8772582253275111.0,4306411213973800.0,728209432314410.5,1454647161572052.2,9371422951965066.0,3116369502183406.0,1696600454148471.8,33148820960698.688,3717092366812227.5,5954179179039302.0,0.05039816753143173,8
36,down_read_trylock,3.95,3.437369964556962e+16,4058298207594936.5,1.0171753600000002e+16,4993256546835444.0,844354227848101.2,1686654177215189.8,1.08661056e+16,3613410713924051.0,1967197488607595.0,38435848101265.82,4309945073417721.0,6903833073417721.0,0.04346566850418239,8
37,tupledealloc,3.85,3.5266523012987012e+16,4163708550649351.0,1.0435954992207794e+16,5122951522077923.0,866285506493506.5,1730463376623376.5,1.114834210909091e+16,3707265537662337.5,2018293527272727.2,39434181818181.82,4421891698701298.5,7083153412987012.0,0.04236527183319043,8
38,ImagingJpegDecode,3.835,3.540446247718383e+16,4179994242503259.5,1.0476773590612778e+16,5142989142112126.0,869673846153846.2,1737231812255541.0,1.1191947097783572e+16,3721765924380704.0,2026187765319426.2,39588422425032.59,4439187233376793.0,7110858054758800.0,0.04220021233254164,8
39,arena_map_get,3.715,3.654807903095558e+16,4315014244952894.0,1.0815188888290716e+16,5309115305518170.0,897765598923284.0,1793346971736204.8,1.1553463558546434e+16,3841984473755047.0,2091636629878869.5,40867187079407.805,4582579553162853.0,7340549297442800.0,0.040879736327351285,8
40,vgetargs1_impl,3.635,3.735243840440165e+16,4409980170563961.5,1.1053212302613482e+16,5425959658872078.0,917523851444291.6,1832815405777166.5,1.180773510866575e+16,3926539840440165.5,2137669898211829.8,41766602475928.48,4683434123796424.0,7502101964236589.0,0.039999418990557714,8
41,__GI___clock_gettime,3.09,4.3940489838187704e+16,5187792207119741.0,1.3002727093851136e+16,6382965488673141.0,1079352491909385.1,2156078964401294.5,1.3890329165048544e+16,4619084893203884.0,2514702291262136.0,49133203883495.15,5509476711974110.0,8825288233009709.0,0.034002257133651535,8
42,jpeg_read_scanlines,2.975,4.563902978151261e+16,5388328712605042.0,1.3505353519327732e+16,6629701969747900.0,1121075361344537.8,2239423193277311.0,1.4427266258823528e+16,4797637754621848.0,2611909270588235.0,51032470588235.29,5722448080672269.0,9166433828571428.0,0.032736800962010794,8
44,__libc_calloc,2.375,5.71688899368421e+16,6749590703157895.0,1.6917232303157896e+16,8304574046315791.0,1404294400000000.0,2805172210526315.5,1.807204931368421e+16,6009672555789473.0,3271760033684210.5,63924884210526.32,7168119174736842.0,1.148216448e+16,0.026134420936059034,8
45,generic_file_buffered_read,2.35,5.777706961702127e+16,6821394859574468.0,1.7097202859574468e+16,8392920578723405.0,1419233702127659.5,2835014468085106.0,1.826430515744681e+16,6073605242553191.0,3306565991489361.5,64604936170212.766,7244375761702128.0,1.1604315165957446e+16,0.02585932176831104,8
46,ext4_mpage_readpages,2.035,6.6720448943488936e+16,7877286447174447.0,1.9743698633906636e+16,9692070447174448.0,1638918525798525.8,3273849631449631.0,2.1091458044226044e+16,7013745611793611.0,3818393159705159.5,74605208845208.84,8365741051597052.0,1.340056051105651e+16,0.02239307225468637,8
47,PyEval_RestoreThread,1.75,7.758635062857142e+16,9160158811428572.0,2.2959100982857148e+16,1.127049334857143e+16,1905828114285714.5,3807019428571429.0,2.452635264e+16,8155984182857142.0,4440245760000000.0,86755200000000.0,9728161737142858.0,1.5582937508571428e+16,0.019256941742359285,8
49,_Py_NewReference,1.735,7.825712599423632e+16,9239353268011526.0,2.315759465129683e+16,1.1367932772334296e+16,1922305014409222.0,3839933141210374.0,2.4738396034582132e+16,8226497014409222.0,4478634051873198.5,87505244956772.33,9812266881844380.0,1.5717660311239194e+16,0.019091882241710496,8
50,__pthread_cond_signal,1.7,7.986830211764706e+16,9429575247058824.0,2.3634368658823536e+16,1.1601978447058824e+16,1961881882352941.5,3918990588235294.5,2.524771595294118e+16,8395866070588236.0,4570841223529412.0,89306823529411.77,1.001428414117647e+16,1.60412592e+16,0.018706743406863305,8
51,tuple_alloc,1.59,8.539378213836477e+16,1.0081935798742138e+16,2.52694507672956e+16,1.2404631044025158e+16,2097609559748427.8,4190115723270440.0,2.6994413283018864e+16,8976712150943395.0,4887062943396226.0,95485283018867.92,1.0707096251572326e+16,1.7151031849056604e+16,0.017496307068772154,8
52,object_dealloc,1.52,8.932639052631579e+16,1.054623547368421e+16,2.6433175473684216e+16,1.2975896947368424e+16,2194210000000000.0,4383081578947369.0,2.823757705263158e+16,9390113368421054.0,5112125052631579.0,99882631578947.36,1.1200186210526316e+16,1.7940882e+16,0.01672602939907778,8
53,down_read,1.495,9.082014287625418e+16,1.0722593926421404e+16,2.6875201819397996e+16,1.3192885190635454e+16,2230902474916388.0,4456377257525083.5,2.8709777337792636e+16,9547138675585284.0,5197612093645484.0,101552909698996.64,1.138748029431438e+16,1.824089674916388e+16,0.01645093023132979,8
54,do_mkvalue,1.485,9.143172632996632e+16,1.0794799946127946e+16,2.7056179609427612e+16,1.328172616835017e+16,2245925387205387.0,4486386531986532.0,2.890310917171717e+16,9611429171717170.0,5232612848484848.0,102236767676767.67,1.1464163663299662e+16,1.8363731070707068e+16,0.016340890564230593,8
