Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1967.557s	6,331,296,000,000	10,578,256,000,000	0.599	41.2%	8.5%	43.5%	17.0%	0.2%	0.1%	7.7%	0.0%	0.0%	0.0%	0.1%	4.1%	3.2 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1564.456s	5,028,192,000,000	13,821,216,000,000	0.364	69.6%	3.3%	5.2%	2.1%	0.0%	0.0%	6.3%	0.0%	0.0%	0.0%	0.3%	20.2%	3.2 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	692.781s	2,242,224,000,000	8,209,280,000,000	0.273	88.5%	1.7%	0.5%	1.0%	0.0%	0.1%	8.8%	0.0%	0.0%	0.0%	0.0%	8.5%	3.2 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	568.356s	1,838,432,000,000	6,361,232,000,000	0.289	85.1%	1.0%	1.6%	0.4%	0.0%	0.0%	6.5%	0.0%	0.0%	0.0%	0.8%	10.5%	3.2 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	494.355s	1,589,600,000,000	5,658,064,000,000	0.281	84.4%	0.7%	0.0%	2.3%	0.2%	0.4%	5.0%	0.6%	0.0%	0.0%	0.3%	14.3%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	387.990s	1,222,176,000,000	1,477,168,000,000	0.827	27.5%	15.0%	53.9%	6.8%	0.0%	0.1%	8.3%	0.0%	0.0%	0.0%	0.0%	2.9%	3.2 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	338.375s	1,145,136,000,000	178,224,000,000	6.425	5.6%	1.4%	0.0%	25.1%	9.6%	18.3%	51.6%	77.3%	0.0%	0.0%	78.8%	10.3%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	245.345s	778,672,000,000	2,642,336,000,000	0.295	84.4%	1.6%	0.8%	0.6%	0.0%	0.0%	6.1%	0.0%	0.0%	0.0%	1.0%	12.4%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	236.310s	755,056,000,000	166,656,000,000	4.531	4.8%	0.8%	0.0%	15.7%	9.8%	16.8%	75.5%	100.0%	100.0%	0.0%	89.4%	5.0%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	195.905s	597,488,000,000	1,277,904,000,000	0.468	49.0%	1.2%	0.0%	7.7%	4.0%	0.0%	0.1%	0.9%	0.0%	0.0%	0.0%	40.6%	3.0 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	178.760s	574,048,000,000	226,528,000,000	2.534	12.5%	0.6%	0.0%	23.8%	13.5%	11.6%	88.4%	0.9%	0.0%	0.0%	13.1%	35.3%	3.2 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
