Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1812.622s	6,212,160,000,000	10,615,472,000,000	0.585	41.8%	8.5%	42.0%	17.2%	0.2%	0.1%	12.0%	0.0%	0.0%	0.0%	0.0%	4.9%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1414.896s	4,871,920,000,000	13,969,808,000,000	0.349	68.4%	2.8%	6.0%	1.9%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.1%	21.4%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	633.571s	2,223,952,000,000	8,251,520,000,000	0.270	88.1%	1.6%	0.3%	0.7%	0.1%	0.1%	13.5%	0.0%	0.0%	0.0%	0.1%	9.3%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	513.695s	1,808,864,000,000	6,354,704,000,000	0.285	84.4%	0.4%	1.1%	0.2%	0.0%	0.0%	10.3%	0.0%	0.0%	0.0%	0.2%	13.1%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	442.170s	1,551,392,000,000	5,264,912,000,000	0.295	84.8%	0.3%	0.0%	0.9%	0.1%	0.3%	8.5%	0.0%	0.0%	0.0%	0.2%	14.0%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	348.495s	1,204,848,000,000	1,479,552,000,000	0.814	28.5%	14.5%	53.2%	6.5%	0.0%	0.1%	12.7%	0.0%	0.0%	0.0%	0.0%	3.0%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	230.415s	809,072,000,000	175,312,000,000	4.615	7.1%	1.7%	0.4%	22.5%	12.4%	28.8%	65.8%	32.7%	1.0%	0.0%	79.0%	10.2%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	223.315s	706,944,000,000	162,288,000,000	4.356	4.6%	0.7%	1.0%	10.0%	14.1%	13.5%	73.8%	100.0%	90.9%	0.0%	88.5%	5.5%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	219.560s	753,904,000,000	2,671,440,000,000	0.282	85.0%	1.2%	1.6%	0.5%	0.0%	0.0%	9.4%	0.0%	0.0%	0.0%	0.6%	11.5%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	161.040s	557,136,000,000	210,944,000,000	2.641	12.5%	0.3%	1.6%	24.7%	9.6%	7.8%	87.0%	0.0%	0.0%	0.0%	8.9%	40.4%	3.5 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
