Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1957.253s	6,340,656,000,000	10,534,304,000,000	0.602	42.9%	9.8%	44.2%	18.5%	0.4%	0.3%	6.8%	0.0%	0.0%	0.0%	0.1%	2.0%	3.2 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1574.652s	5,109,408,000,000	13,977,072,000,000	0.366	76.0%	4.6%	6.4%	2.8%	0.0%	0.0%	5.8%	0.1%	0.0%	0.1%	0.6%	11.9%	3.2 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	761.416s	2,567,280,000,000	8,123,120,000,000	0.316	84.7%	2.7%	0.0%	2.6%	0.2%	0.3%	8.0%	0.2%	0.0%	0.0%	0.0%	11.9%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	595.736s	1,967,600,000,000	6,506,176,000,000	0.302	85.2%	2.3%	1.8%	1.4%	0.1%	0.2%	6.5%	0.2%	0.0%	0.0%	0.8%	8.9%	3.3 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	537.191s	1,787,440,000,000	5,446,384,000,000	0.328	82.9%	1.7%	0.0%	3.3%	0.1%	0.5%	5.2%	0.8%	0.0%	0.0%	0.6%	14.5%	3.3 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	393.516s	1,304,608,000,000	1,590,976,000,000	0.820	31.9%	16.9%	53.7%	8.5%	0.2%	0.0%	6.6%	0.2%	0.0%	0.0%	0.1%	0.0%	3.3 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	391.131s	1,326,992,000,000	170,032,000,000	7.804	5.2%	1.7%	0.3%	25.5%	7.1%	14.1%	47.0%	100.0%	2.2%	0.0%	77.0%	8.8%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	265.070s	848,160,000,000	2,759,664,000,000	0.307	90.0%	3.1%	0.0%	1.6%	0.1%	0.0%	6.3%	0.0%	0.0%	0.0%	1.4%	7.0%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	248.705s	819,424,000,000	167,200,000,000	4.901	5.6%	2.7%	0.6%	13.8%	10.0%	16.1%	78.3%	100.0%	100.0%	0.0%	91.9%	5.2%	3.3 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	200.430s	634,320,000,000	1,205,872,000,000	0.526	53.3%	4.7%	0.0%	10.9%	4.4%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	31.8%	3.2 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
