Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.324047,2.324047,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.599987,1.599987,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ImagingUnpackRGB,1.572067,1.572067,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
ycc_rgb_convert,1.471784,1.471784,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.668013,0.668013,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.256008,0.256008,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
decompress_onepass,0.096041,0.096041,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
jpeg_fill_bit_buffer,0.056004,0.056004,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
__memset_avx2_unaligned_erms,0.044003,0.044003,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
PyEval_RestoreThread,0.012000,0.012000,0.0,0.0,python3.10,PyEval_RestoreThread,ceval.c,0x43ac39
__libc_calloc,0.008335,0.008335,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
