Functions,Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound
decode_mcu,-461.62,-243.41,-171.03,-202.39,-26.62,-13.31,-38.09,0.0,0.0,0.0,-8.25,82.22
jpeg_idct_islow,-828.82,-221.82,-4.58,-87.8,-2.29,-2.29,-77.15,0.0,0.0,0.0,-20.73,232.25
ImagingResampleHorizontal_8bpc,-444.03,-98.57,0.0,-91.89,-5.46,-0.85,-108.06,0.0,0.0,0.0,0.0,66.05
ycc_rgb_convert,-369.69,-110.57,6.99,-46.91,-1.38,-2.88,-51.59,0.0,0.0,0.0,-1.69,44.14
ImagingResampleVertical_8bpc,-300.37,-61.07,0.93,-81.34,-3.18,-1.79,-54.52,-1.92,0.0,0.0,-4.17,58.4
jpeg_fill_bit_buffer,-172.05,-79.79,-32.01,-54.96,-0.47,-0.23,-13.6,-1.2,0.0,0.0,0.0,11.7
__memmove_avx_unaligned_erms,-13.18,-18.2,-1.73,-36.33,-7.57,24.92,-53.61,-320.41,-6.37,0.0,-153.03,-3.03
jpeg_idct_16x16,-156.88,-51.94,1.41,-19.7,-0.4,0.0,-22.3,0.0,0.0,0.0,-9.83,25.41
AVX2::direct_copy_kernel(float),-9.47,-11.89,0.0,-2.05,-23.72,-4.2,-47.09,-46.8,-46.8,0.0,-41.77,-1.32
ImagingUnpackRGB,-87.75,-9.9,-9.14,-20.19,-0.75,-2.5,-13.3,0.0,0.0,0.0,-13.36,0.0
decompress_onepass,-46.05,-47.37,2.23,-31.82,-2.95,-0.99,-9.68,0.58,0.0,0.0,-5.33,12.48
AVX2::div_true_kernel(float),-16.45,-17.39,-2.4,-12.7,-11.87,-12.97,-33.73,-1.6,0.0,0.0,-10.84,17.2
