json_file,data_wait_time,forward_and_backward_pass_time,move_data_to_device_time
filesize10MB_b128_gpu4,197502.17380000002,56.9082,0.26260000000000006
filesize10MB_b256_gpu4,399138.431,87.4526,0.2144
glibc/filesize1MB_b128_gpu4,20180.2044,57.9024,0.25939999999999996
glibc/filesize10MB_b128_gpu4,199888.08839999998,54.2962,0.1838
glibc/filesize100MB_b128_gpu4,286372.6228,58.18299999999999,0.2588
jemalloc/filesize1MB_b128_gpu4,21224.65,55.07899999999999,0.1924
jemalloc/filesize10MB_b128_gpu4,200887.5426,56.96020000000001,0.22480000000000003
jemalloc/filesize100MB_b128_gpu4,299851.6534,56.4794,0.1648
numa_node_0/filesize1MB_b128_gpu4,20716.9868,56.27419999999999,0.2238
numa_node_0/filesize10MB_b128_gpu4,229843.706,57.7804,0.2606
numa_node_0/filesize100MB_b128_gpu4,297517.31399999995,54.933400000000006,0.2722
numa_node_1/filesize1MB_b128_gpu4,19934.9838,51.046,0.20539999999999997
numa_node_1/filesize10MB_b128_gpu4,230066.8924,53.387,0.194
numa_node_1/filesize100MB_b128_gpu4,296754.9116,56.038199999999996,0.2426
tcmalloc/filesize1MB_b128_gpu4,15472.574599999998,56.4196,0.198
tcmalloc/filesize10MB_b128_gpu4,161687.85059999998,63.1644,0.205
tcmalloc/filesize100MB_b128_gpu4,250358.4026,59.44079999999999,0.22759999999999997
