Functions,Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound
decode_mcu,0.0,-1.4,1.5,0.8,-0.2,-0.1,0.3,0.0,0.0,0.0,-0.1,0.0
jpeg_idct_islow,1.9,-1.1,-0.4,-0.5,0.1,0.0,0.0,0.0,0.1,0.0,-0.1,-0.2
ImagingResampleHorizontal_8bpc,-6.4,-2.3,2.1,-1.1,-0.2,0.0,-0.8,0.1,0.0,0.0,0.0,1.6
ycc_rgb_convert,3.3,-1.5,0.0,-0.6,0.1,0.0,0.5,0.0,0.0,0.0,0.1,-1.9
ImagingResampleVertical_8bpc,-8.0,-1.8,1.1,-1.4,-0.3,0.0,-1.5,-0.7,0.0,0.0,-0.1,3.4
jpeg_fill_bit_buffer,-1.8,-0.7,3.0,0.8,-0.1,-0.1,0.1,-0.2,0.2,0.0,0.0,0.0
__memmove_avx_unaligned_erms,-0.6,-1.6,1.0,0.9,0.4,0.9,-0.7,0.0,0.1,0.0,-1.5,-2.3
jpeg_idct_16x16,-0.9,-2.5,0.0,-1.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.5,0.0
AVX2::direct_copy_kernel(float),-0.9,-0.8,0.0,4.1,-6.1,1.9,-4.1,0.0,0.0,0.0,-4.9,1.8
ImagingUnpackRGB,2.2,1.0,-5.5,-0.6,-0.1,-1.0,0.2,0.0,0.0,0.0,-0.8,3.9
decompress_onepass,0.3,-4.2,3.8,-2.5,-0.4,0.2,0.4,0.0,0.0,0.0,-0.4,0.1
AVX2::div_true_kernel(float),-2.3,-2.8,-1.2,-0.2,-1.3,-1.4,-1.8,-0.1,0.0,0.0,-0.4,0.8
AVX2::direct_copy_kernel(unsigned char),0.0,-0.7,0.9,-1.0,-0.1,0.2,0.9,0.0,0.0,0.0,0.2,0.0
