Functions,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,batch_size,gpus
decode_mcu,1774.902,40.2,8.1,41.9,16.8,0.1,0.1,10.1,0.0,0.0,0.0,0.0,6.1,21.2416609909405,128,1
jpeg_idct_islow,1403.021,69.7,2.6,5.6,1.8,0.0,0.0,8.6,0.0,0.0,0.0,0.2,20.8,16.791065898382183,128,1
ImagingResampleHorizontal_8bpc,622.371,89.8,2.0,0.5,0.7,0.0,0.1,14.5,0.0,0.0,0.0,0.0,7.2,7.448407738901995,128,1
ycc_rgb_convert,511.015,83.8,0.4,0.0,0.1,0.0,0.0,9.6,0.0,0.0,0.0,0.0,15.5,6.115722102564232,128,1
ImagingResampleVertical_8bpc,425.865,88.9,0.2,0.1,0.6,0.0,0.3,9.7,0.0,0.0,0.0,0.0,10.2,5.096664468182962,128,1
jpeg_idct_16x16,215.66,86.5,1.1,0.0,0.3,0.0,0.0,9.8,0.0,0.0,0.0,0.4,11.7,2.580974391434698,128,1
__memmove_avx_unaligned_erms,202.02,8.2,1.8,0.6,21.1,13.6,30.1,66.4,24.1,13.9,0.0,76.5,8.5,2.4177336852343396,128,1
decompress_onepass,141.39,54.1,5.4,27.8,3.0,0.0,0.1,9.4,0.0,0.0,0.0,0.3,11.5,1.6921263526150045,128,1
ImagingUnpackRGB,129.475,93.3,6.5,0.0,0.9,0.0,0.0,9.6,0.0,0.0,0.0,0.4,2.2,1.5495300905638851,128,1
__memset_avx2_unaligned_erms,27.61,46.3,24.8,14.7,4.4,0.9,0.0,8.1,0.0,0.0,0.0,4.4,8.6,0.3304307843249189,128,1
_int_free,8.845,24.4,58.8,10.6,3.0,0.0,18.5,32.5,0.0,0.0,0.0,0.5,3.2,0.10585513536232914,128,1
__libc_calloc,2.07,14.9,93.0,5.8,34.1,9.7,14.6,14.6,0.0,0.0,0.0,2.4,0.0,0.024773332979086637,128,1
decode_mcu,1786.437,40.5,8.0,41.3,17.1,0.2,0.1,13.3,0.0,0.0,0.0,0.0,6.3,21.574156184042675,128,2
jpeg_idct_islow,1407.286,70.1,2.6,5.3,1.8,0.0,0.0,11.8,0.0,0.0,0.0,0.1,20.7,16.99528612518476,128,2
ImagingResampleHorizontal_8bpc,612.371,91.8,1.7,0.3,0.6,0.0,0.0,15.5,0.0,0.0,0.0,0.0,5.9,7.39538399427374,128,2
ycc_rgb_convert,511.725,86.0,0.5,0.2,0.2,0.1,0.0,12.6,0.0,0.0,0.0,0.1,12.2,6.179918504419265,128,2
ImagingResampleVertical_8bpc,427.05,87.7,0.2,0.0,0.7,0.0,0.2,10.5,0.0,0.0,0.0,0.0,11.5,5.1573290288968625,128,2
jpeg_idct_16x16,218.77,87.5,1.0,0.1,0.4,0.0,0.0,12.2,0.0,0.0,0.0,0.4,10.9,2.642006490227764,128,2
__memmove_avx_unaligned_erms,209.09,8.7,2.1,0.0,19.6,12.9,31.2,68.5,17.1,0.0,0.0,79.0,10.4,2.525104616911474,128,2
decompress_onepass,136.68,52.2,5.8,28.6,4.0,0.0,0.0,11.7,0.0,0.0,0.0,0.4,11.3,1.6506351286023255,128,2
ImagingUnpackRGB,133.045,94.0,6.2,0.3,0.5,0.1,0.0,12.3,0.0,0.0,0.0,0.6,0.0,1.6067365429096898,128,2
__memset_avx2_unaligned_erms,30.4,39.0,25.2,22.2,8.0,0.0,0.0,12.2,0.0,0.0,0.0,2.8,10.4,0.3671298500842164,128,2
_int_free,12.07,24.0,53.8,19.8,7.2,0.0,12.5,41.6,24.2,0.0,0.0,0.5,1.0,0.14576504245120042,128,2
__libc_calloc,2.015,16.9,88.2,4.4,10.7,19.2,12.8,17.1,0.0,0.0,0.0,6.4,0.0,0.024334429207884742,128,2
decode_mcu,1831.437,40.6,8.2,41.5,17.1,0.1,0.1,11.7,0.0,0.0,0.0,0.0,5.9,21.64613433900608,128,3
jpeg_idct_islow,1440.591,70.9,2.6,5.5,1.9,0.0,0.0,10.3,0.0,0.0,0.0,0.1,19.7,17.02664427635955,128,3
ImagingResampleHorizontal_8bpc,636.471,90.2,2.0,1.1,0.8,0.0,0.1,14.0,0.0,0.0,0.0,0.1,6.3,7.522582960200945,128,3
